文献层级,文献信息,DOI,样本量及样本特征,暴露因素,影像方法,主要研究目的及相应的结果,其他测量/结局,comment
其他（多病症残疾）,Quiñones AR 等 (2018). J Gerontol A Biol Sci Med Sci,,美国NHATS全国代表性队列；n=4017名≥65岁Medicare受益人；2013基线2014随访。,多病症组合（含癌症、肺病、抑郁与认知损害等慢性病编码）,不适用,目的：比较多病症组合类型与前瞻ADL/IADL残疾关系。结果：含抑郁与认知损害的组合与更高残疾相关；与肺癌CRCI无直接对应。,NHATS；回归模型,
其他（检索噪声/非CRCI核心）,Margolin E 等 (2026). StatPearls [Opsoclonus],,教科书章节；非原始数据样本。,不适用；文中述及成人副肿瘤性眼阵挛可与小细胞肺癌等相关,提及脑脊髓MRI为鉴别诊断手段之一；非肺癌CRCI研究设计,目的：阐述眼阵挛–眼阵挛肌阵挛综合征病因、机制与评估。结果：与肺癌CRCI项目关联弱，仅在鉴别诊断中顺带提及SCLC等副肿瘤病因。,综述性条目；PMID 33232023,
其他（环境与毒理）,Chen QY 等 (2021). Annu Rev Pharmacol Toxicol,,砷暴露与疾病负担叙述综述；非临床肿瘤治疗研究。,环境砷暴露,不适用,目的：综述砷的来源、健康危害与防控缺口。结果：高暴露与皮肤病变、认知损害及肺肝肾等癌症相关；与肺癌CRCI治疗研究无直接对应。,全球疾病负担与毒理机制综述,
其他（环境毒理综述）,Li H 等 (2025). Ecotoxicol Environ Saf,,叙述综述；吸入暴露与肺–脑轴；无独立患者样本量。,烟草烟雾与环境化学颗粒物等吸入暴露,综述层面讨论神经影像与标志物缺口；非统一参数,目的：比较吸烟与化学污染物经肺–脑轴影响神经健康的机制与政策含义。结果：归纳炎症、氧化应激与BBB破坏等可导致神经认知下降与癌症；指出长期人群数据不足；为环境共暴露与肺–脑轴背景文献。,机制与政策讨论,
其他（理论综述）,Castillo X 等 (2019). Front Neurosci,,多学科作者概念综述；非肺癌患者原始数据。,不适用,不适用,目的：提出神经退行病因学替代框架（血管、炎症等路径）。结果：讨论血管–脑相互作用与认知障碍等；非肺癌CRCI证据。,概念性综述,
其他（痴呆照料）,Kuroda Y 等 (2024). Cancer Med,,日本记忆门诊相关邮寄调查；826例认知下降个体及其主要照料者；观察性。,照料者健康素养与癌症筛查依从,不适用,目的：分析认知下降人群癌症筛查模式及照料者素养影响。结果：记忆门诊队列女性65–74岁乳腺癌筛查率低于全国平均；高沟通素养照料者与胃、结直肠、乳腺（女性）及肺癌筛查（男性）依从增加相关。,问卷自报筛查行为；逻辑回归,
其他（癌相关卒中）,Dawod J 等 (2023). J Stroke Cerebrovasc Dis,,前瞻性调查；2021–2022两家四级卒中与肿瘤中心；n=50例活动性癌症合并近期缺血性卒中；平均年龄约70岁；87%实体瘤以肺癌、前列腺、乳腺为常见。,卒中与癌症共存情境；抗栓偏好等,不适用,目的：开发并应用问卷评估癌相关卒中患者QoL驱动因素与未来担忧。结果：当前QoL最受影响依次为卒中残疾、癌痛与依赖；未来担忧首位为认知/记忆损害（28%问卷列第一）；其次为依赖与言语障碍；抗栓策略偏好异质性大。,结构化调查访谈,
其他（神经免疫）,Zhu F 等 (2020). Front Neurol,,北京天坛医院单中心回顾；2015.8–2019.9；14例抗GABA-B受体脑炎。,自身免疫性脑炎；非肺癌专病队列,脑MRI颞叶内侧高信号；PET代谢异常；部分合并肿瘤筛查,目的：总结抗GABA-B受体脑炎临床特征。结果：癫痫、认知障碍与精神行为突出；3例肺部结节高代谢等提示肿瘤筛查；1例死于肺癌；与肺癌CRCI为鉴别与共病背景参考。,脑脊液、EEG、MRI、PET,
其他（神经自身免疫）,Budhram A 等 (2021). J Neurol Neurosurg Psychiatry,,Mayo队列回顾；高滴度GAD65抗体患者临床谱（323例筛查中212例确诊神经自身免疫）。,GAD65抗体相关神经综合征,不适用,目的：描述高滴度GAD65抗体相关表现、治疗反应与预后因子。结果：核心表现含SPSD、小脑性共济失调、癫痫与边缘叶脑炎等；认知损害多作为合并现象；与肺癌CRCI为鉴别诊断背景。,图表回顾；免疫治疗反应统计,
其他（糖尿病）,Brzecka A 等 (2021). Curr Neuropharmacol,,2型糖尿病、睡眠与认知关联叙述综述；作者单位含肺癌相关科室但主题为代谢病。,高血糖与睡眠障碍等,不适用,目的：综述睡眠障碍与T2DM及认知损害的联系及可能机制。结果：讨论睡眠呼吸暂停、失眠、类淋巴清除等与认知风险；非肺癌CRCI主线。,文献综合,
其他（糖尿病）,Mauricio D 等 (2020). Trends Endocrinol Metab,,糖尿病慢性并发症概念综述。,慢性高血糖及多器官损害,不适用,目的：呼吁超越经典大血管概念关注非经典并发症。结果：列举认知下降、肺功能受损与癌症风险等；非肺癌治疗研究。,观点综述,
其他（老年社会医学泛论）,Dhar HL (2001). J Assoc Physicians India,,叙述性综论；非系统数据样本；印度语境下老年健康。,不适用,不适用,目的：讨论性别、老龄化与健康社会决定因素。结果：泛论老年抑郁、骨质疏松及男女特异问题；提及女性乳腺癌与肺癌等；与肺癌CRCI项目关联极弱。,—,
其他（非肺癌队列）,Zhu C 等 (2025). Pain Ther,,CHARLS 2020横断面；n=9544名≥45岁中国中老年；疼痛潜类别与认知、情绪、功能关联。,非癌症特异性暴露；慢性疼痛表型,不适用,目的：识别疼痛部位模式潜类别及其与认知损害、抑郁与ADL的关系。结果：四潜类别；广泛疼痛组与认知损害、抑郁及ADL/BADL/IADL困难关联更强；与肺癌CRCI项目为一般人群共病参考。,CHARLS问卷与协变量,
其他（非肿瘤）,Márquez F 等 (2025). JAMA Netw Open,,美国HCHS/SOL附属神经认知衰老研究；5712名50–86岁西班牙裔/拉丁裔成人（加权）；2016–2018横断面。,血浆AD相关生物标志物（Aβ42/40、p-tau181、NfL、GFAP）,不适用,目的：检验血浆生物标志物与主观认知下降（SCD）关联。结果：ln(p-tau181)、ln(NfL)、ln(GFAP)与ECog-12多域评分相关；Aβ42/40无显著关联；与肺癌CRCI无直接对应。,ECog-12；Simoa血浆检测；APOE等协变量,
其他（食品科学综述）,Wang F 等 (2022). Crit Rev Food Sci Nutr,,辣椒素提取、纯化、生物活性综述；非临床肿瘤队列。,辣椒素药理,不适用,目的：综述辣椒素生物学效应与机制。结果：述及抗癌、镇痛与「认知损害」相关文献片段；与肺癌CRCI治疗链关联极弱。,食品与药理文献,
其他文献类型,Ye L 等 (2024). Support Care Cancer (Correction),,勘误/更正启事；无新纳入患者数据。,不适用,不适用,目的：对已发表之「肺癌CRCI危险因素系统综述与Meta分析」进行更正。结果：见原论文及本勘误DOI；不在此重复Meta定量结果。,指向原文 10.1007/s00520-024-08773-z；本勘误DOI 10.1007/s00520-024-09097-8,
其他文献类型,Capetti B 等 (2025). Front Psychol,,研究方案；计划招募约200例NSCLC与SCLC；米兰欧洲肿瘤研究所等；纵向随访治疗结束后12月。,手术或辅助全身治疗完成后随访；具体化疗/免疫/靶向组合依临床路径,方案含MoCA与MMSE及成套神经心理；未报告已采集影像,目的：阐述肺癌患者治疗前后认知与心理社会结局前瞻性研究方案。结果：方案层面说明T0及治疗后4月与12月评估点、ICCTF标准与自报认知及情绪睡眠QoL工具；结果待发表。,MoCA、MMSE、FAB、Stroop、AVLT、TMT、SDMT等；伦理批件见原文,
其他癌症/混合/非肺癌主题,Oppegaard KR 等 (2025). J Neural Transm,,n=508例可分析；混合癌种（乳腺、胃肠、妇科、肺癌等）接受化疗的门诊患者；两个化疗周期内六次评估。,化疗（两个周期内纵向）；非单一肺癌队列,未使用脑影像；外周血RNA测序或芯片与通路分析,目的：以数据驱动比较高与低自述CRCI亚组的转录组通路差异。结果：7条与神经传递相关的KEGG通路（谷氨酸能、GABA能、多巴胺能、5-羟色胺能突触等）与High CRCI相关。,Attention Function Index六次；基因表达与通路影响分析,
其他癌症/混合/非肺癌主题,Schweppe CA 等 (2025). J Cancer Surviv,,185项NIH资助CRCI相关课题（2017–2024）；非患者个体样本。,基金层面统计：化疗与放疗课题占比较高；免疫治疗与激素治疗等提及不足,不适用（文献计量）,目的：分析NIH CRCI资助格局、趋势与空白。结果：临床与临床前比例及癌种分布以乳腺、CNS、血液肿瘤为主；肺癌、结直肠癌与前列腺癌等高发癌研究相对不足。,基金目标与方法字段编码,
其他癌症/混合/非肺癌主题,Sun H 等 (2023). Cancer Med,,文献综述；非原始患者队列。,乳腺癌脑转移治疗语境；非肺癌CRCI患者样本,综述未统一报告影像采集参数,目的：综述乳腺癌脑转移证据与治疗方向。结果：强调脑转移带来严重认知与生存质量影响及分子机制与治疗策略（非肺癌CRCI核心证据）。,分子通路文献整合,
其他癌症/混合/非肺癌主题,Ibrar M 等 (2024). JMIR Res Protoc,,研究方案；纳入样本待系统综述完成后确定。,不适用（方案阶段）,不适用（方案阶段）,目的：陈述多癌种CRCI患者体验定性系统综述的研究方案。结果：方案层面描述检索、CASP评价与主题分析法；预期纳入含肺癌等多癌种访谈与调查类研究。,PubMed、PsycINFO、CINAHL、Scopus等检索策略,
其他癌症/混合/非肺癌主题,Xia L 等 (2020). Cancer Med,,伞形综述基于30篇Meta分析；覆盖多癌种与老年人群。,不适用（肌少症与预后结局）,不适用,目的：评估肌少症与多种不良健康结局关联的证据强度。结果：肌少症与多癌种不良预后及老年人认知损害、跌倒、住院等风险相关；多数结局证据GRADE为低或极低。,AMSTAR与GRADE,
其他癌症/混合/非肺癌主题,Oppegaard KR 等 (2023). Nurs Res,,n=1343例；乳腺、胃肠、妇科或肺癌；近4周内接受过化疗且计划继续化疗的门诊成人。,化疗（入组要求为活跃化疗）；癌种为混合,未使用脑影像,目的：用结构回归评估多因素CRCI概念模型中各维度对自述CRCI的相对贡献。结果：共病症状潜变量解释方差最大，治疗因素潜变量最小；四外生潜变量同时对CRCI的联合结构回归模型整体不显著。,Attention Function Index；社会决定因素、患者因素、治疗因素、症状等潜变量构建,
其他癌症/混合/非肺癌主题,Lycke M 等 (2017). Psychooncology,,n=125例计划接受根治性治疗的实体瘤或血液肿瘤患者；平均年龄约60.9岁；女性约65.6%；肺癌约占3.2%。,根治性治疗前基线评估；非针对特定抗肿瘤药物类别的暴露比较,未使用脑影像,目的：识别计划根治性治疗前癌症患者基线CRCI的预测因素。结果：约29.6%存在基线CRCI；较低既往智商与较高疲劳预测基线CRCI。,神经心理学多领域测验；焦虑抑郁疲劳与认知主诉等PROM,
其他癌症/混合/非肺癌主题,Dhanawat A 等 (2022). Ecancermedicalscience,,n=597例≥60岁实体瘤患者回顾性分析（2018.6–2021.7老年肿瘤门诊前瞻数据库）；男性约77.4%、中位年龄69岁；肺癌约40.9%、胃肠约31.7%、头颈约12.6%；41例（6.9%）脑转移。,非治疗类型比较为主；结论段提及需进一步研究颅脑放疗与化疗对认知下降的影响,未使用神经影像,目的：描述老年癌症患者合并脑转移者的认知损害（MMSE）患病率并与无脑转移者比较。结果：脑转移组26.8% vs 无脑转移组16.4%认知损害，差异未达统计学显著（p=0.086）；作者建议后续关注放疗与化疗对认知轨迹的影响。,MMSE（文盲者用印地语MMSE）；卡方检验脑转移与认知损害关联,
其他癌症/混合/非肺癌主题,Országhová Z 等 (2021). Front Mol Biosci,,叙述综述；无独立患者样本。,综述涵盖化疗、放疗、激素与新型全身治疗及治疗前认知等语境,综述提及影像学生物标志物潜力；非原始采集,目的：总结CRCI长期影响、危险因素、可能机制与生物标志物。结果：强调定义与测量异质性、主客观关联弱；除乳腺外亦述及肺、结直肠等多癌种；机制涉及神经毒性、炎症、DNA损伤与内皮功能障碍等；提及血浆与影像标志物探索方向。,文献综合,
其他癌症/混合/非肺癌主题,Gabriel K 等 (2025). Signal Transduct Target Ther,,PubMed未收录结构化摘要；综述/观点类文章（CAR T治疗后认知损害长期后果）。非肺癌专篇。,CAR T细胞治疗（免疫治疗）后迟发性认知损害及相关神经生物学机制讨论语境,未在PubMed摘录中说明临床神经影像方案,目的：综述CAR T治疗长期不良反应中认知损害的时间进程与可能机制。结果：PubMed页面提示与急性CRS/ICANS相比认知损害可在数月乃至数年后出现；机制涉及脑脊液细胞因子/趋化因子升高、皮层下少突胶质细胞减少与小胶质激活等（参见原文图注与全文）。,引用近年CAR T相关神经认知与临床前文献；PMC全文链接见PubMed,
其他癌症/混合/非肺癌主题,Zeng Y 等 (2023). Asia Pac J Oncol Nurs,,n=165例癌症患者横断面；平均年龄约47.74±10.59岁；癌种含肺、肝、乳腺与结直肠癌等；约88.5%为早期分期（n=146）。,未按治疗类型分层；工具验证研究,沉浸式VR认知评估；非传统MRI/PET结构报告,目的：评价自管沉浸式VR工具测评癌症患者认知损害的可行性与效标关联。结果：VR任务成绩与纸质神经心理测验呈中至高度正相关（r约0.34–0.76）；模拟眩晕评分低提示耐受性可接受。,纸质神经心理测验（注意、记忆、处理速度、执行与言语流畅性等域）；VR呈现度与不良反应评分,
其他癌症/混合/非肺癌主题,Arinaga M 等 (2025). Int J Mol Sci,,Lewis肺癌（3LL）移植小鼠模型；行为与分子实验；非人类临床研究。,肿瘤移植诱导CRCI样表型；药物暴露为Tabernanthalog（TBG）干预,未使用临床神经影像,目的：在动物模型探讨非致幻吲哚类化合物TBG对癌症相关认知情绪损害的改善及机制。结果：荷瘤鼠焦虑样与记忆损害；色氨酸降低、5-HT受体基因下调与炎症基因上调及小胶质激活；TBG改善行为并部分逆转分子与小胶质改变；体外TBG抑制3LL条件培养基诱导的小胶质炎症基因。,行为学；血与海马生化；BV-2细胞体外,
其他癌症/混合/非肺癌主题,Ungvari Z 等 (2026). Geroscience,,TCGA与GEO等多数据库转录组；多癌种汇总；肺癌亚组中PCSK9表达与总生存关联在可用数据集中未达统计学显著。,不适用（基因表达与预后关联）,不适用,目的：系统评估PCSK9表达跨癌种预后意义。结果：乳腺癌/卵巢癌等呈保护或有害关联；肺癌等多种癌种在可用数据集中未观察到OS与PCSK9显著关联；与CRCI无直接对应。,Cox与KM生存分析；RNA-seq/芯片,
其他癌症/混合/非肺癌主题,Ungvari Z 等 (2026). Geroscience,,多队列转录组公共数据；肺癌患者总例数摘要合并约2167例级别；SenMayo等衰老相关基因集。,不适用（基因签名预后）,不适用,目的：评估衰老/细胞衰老相关基因表达对肺癌生存的预后价值。结果：多签名与OS等显著相关；腺癌与鳞癌模式不同；为肿瘤生物学与预后研究，非CRCI临床结局。,Cox与KM；多数据集验证,
其他癌症/混合/非肺癌主题,Ungvari Z 等 (2026). Geroscience,,KM Plotter数据库等；n=2167肺癌转录组与生存关联分析；14基因NRF2激活签名。,不适用（NRF2通路活性与预后）,不适用,目的：评估NRF2通路激活对肺癌临床结局预测及抗氧化干预警示。结果：高NRF2签名与更差OS、首次进展与进展后生存相关；腺癌、淋巴结阴性及女性中效应突出；讨论NRF2诱导剂在患癌或高危人群需谨慎。,Cox回归；KM曲线,
其他癌症/混合/非肺癌主题,Dwek MR 等 (2017). Psychooncology,,系统综述；1980–2016文献；最终纳入17项实体瘤化疗研究；其中明确提及肺癌仅1项、乳腺癌占多数。,化疗；客观认知与HRQoL关系,不适用,目的：系统评价实体瘤患者化疗相关客观认知改变与健康相关生活质量关系。结果：17项中15项发现某种认知损害；仅3项报告客观认知域与特定HRQoL结局显著相关；总体关系不一致；归因于测量工具、定义、样本量及癌种与治疗差异。,多数据库检索；综述方法学讨论,
其他癌症/混合/非肺癌主题,Schiaffino MK 等 (2023). J Geriatr Oncol,,SEER-Medicare回顾；n=337932例≥68岁首次原发癌（乳腺、宫颈、结直肠、肺、口腔、前列腺）；另5%非癌对照。,癌前三年ADRD诊断患病模式,不适用,目的：估计癌前ADRD患病率及种族差异。结果：癌前3年内ADRD总患病率约5.6%；黑人患者在多种癌种（含肺癌约8.41%）中患病率高于白人；强调需加强认知评估与照护协调。,行政理赔与肿瘤登记链接数据,
其他癌症/混合/非肺癌主题,Kim SH (2025). Int J Nurs Stud,,韩国在线癌症幸存者社区二次分析横断面；n=1019例已完成治疗的乳腺、结直肠、肺、胃与甲状腺癌幸存者。,化疗和/或放疗史与幸存忧虑报告相关,不适用,目的：描述韩国治疗后幸存者忧虑谱及其与EORTC QoL关系。结果：忧虑患病率34.7%–78.4%；认知功能障碍报告约60.5%为最常见忧虑之一；疲乏与失眠等亦高；回归示各类忧虑预测QoL分量表。,NCCN幸存清单；EORTC QLQ-C30,
